X,CH1
Second,Volt,
7.46e-07,-3.16e-02
7.48e-07,-3.16e-02
7.50e-07,-3.29e-02
7.52e-07,-3.16e-02
7.54e-07,-3.29e-02
7.56e-07,-3.16e-02
7.58e-07,-3.29e-02
7.60e-07,-3.16e-02
7.62e-07,-3.23e-02
7.64e-07,-3.23e-02
7.66e-07,-3.29e-02
7.68e-07,-3.16e-02
7.70e-07,-3.29e-02
7.72e-07,-3.16e-02
7.74e-07,-3.29e-02
7.76e-07,-3.16e-02
7.78e-07,-3.29e-02
7.80e-07,-3.16e-02
7.82e-07,-3.29e-02
7.84e-07,-3.16e-02
7.86e-07,-3.29e-02
7.88e-07,-3.23e-02
7.90e-07,-3.16e-02
7.92e-07,-3.23e-02
7.94e-07,-3.23e-02
7.96e-07,-3.23e-02
7.98e-07,-3.23e-02
8.00e-07,-3.16e-02
8.02e-07,-3.23e-02
8.04e-07,-3.16e-02
8.06e-07,-3.23e-02
8.08e-07,-3.29e-02
8.10e-07,-3.16e-02
8.12e-07,-3.16e-02
8.14e-07,-3.23e-02
8.16e-07,-3.16e-02
8.18e-07,-3.23e-02
8.20e-07,-3.23e-02
8.22e-07,-3.16e-02
8.24e-07,-3.16e-02
8.26e-07,-3.23e-02
8.28e-07,-3.16e-02
8.30e-07,-3.23e-02
8.32e-07,-3.16e-02
8.34e-07,-3.23e-02
8.36e-07,-3.23e-02
8.38e-07,-3.23e-02
8.40e-07,-3.16e-02
8.42e-07,-3.29e-02
8.44e-07,-3.16e-02
8.46e-07,-3.29e-02
8.48e-07,-3.16e-02
8.50e-07,-3.23e-02
8.52e-07,-3.16e-02
8.54e-07,-3.29e-02
8.56e-07,-3.23e-02
8.58e-07,-3.29e-02
8.60e-07,-3.23e-02
8.62e-07,-3.29e-02
8.64e-07,-3.29e-02
8.66e-07,-3.16e-02
8.68e-07,-3.23e-02
8.70e-07,-3.23e-02
8.72e-07,-3.16e-02
8.74e-07,-3.23e-02
8.76e-07,-3.23e-02
8.78e-07,-3.23e-02
8.80e-07,-3.16e-02
8.82e-07,-3.29e-02
8.84e-07,-3.29e-02
8.86e-07,-3.16e-02
8.88e-07,-3.16e-02
8.90e-07,-3.23e-02
8.92e-07,-3.29e-02
8.94e-07,-3.16e-02
8.96e-07,-3.23e-02
8.98e-07,-3.23e-02
